label,occurrences,files,functions,callbacks_sample,flags,source_sample
📣 Новая рассылка,1,src/bot/bot.js,renderBroadcastList,,,src/bot/bot.js:38105
📣 Объявление,1,src/bot/bot.js,renderAdminComms,,,src/bot/bot.js:38527
📣 Опубликовать ещё раз,1,src/bot/bot.js,getBot,a:gw_publish|ws:${…},,src/bot/bot.js:37112
📣 Офиц.канал (${…}),1,src/bot/bot.js,renderAdminComms,a:off_queue|p:0,,src/bot/bot.js:38534
📣 Рассылка,1,src/bot/bot.js,renderAdminOps,,,src/bot/bot.js:38481
📣 Рассылки,1,src/bot/cron.js,broadcastTick,a:bc_list|p:0,,src/bot/cron.js:1746
📣 Реклама/упоминание,1,src/bot/bot.js,bxTypeKb,a:bx_type|ws:${…}|t:ad,,src/bot/bot.js:8142
📣 Статус офиц.канала,1,src/bot/payments/starsHandlers.js,registerStarsPaymentsHandlers,a:off_manage|ws:${…}|o:${…}|p:0|back:my,,src/bot/payments/starsHandlers.js:268
📤 Export CSV,1,src/bot/bot.js,renderAdminUsers,a:adm_ucsv|f:${…},english_or_internal_term,src/bot/bot.js:40588
📤 Export TXT,1,src/bot/bot.js,renderAdminAudit,a:aud_export|h:${…},,src/bot/bot.js:40397
📤 Ещё вариант,1,src/bot/bot.js,renderWsIgDmTemplate,a:ws_ig_dm|ws:${…}|tone:${…}|i:${…},,src/bot/bot.js:11306
📤 Экспорт eligible,1,src/bot/bot.js,renderGwStats,a:gw_export|i:${…}|t:eligible,mixed_language,src/bot/bot.js:18619
📤 Экспорт всех,1,src/bot/bot.js,renderGwStats,a:gw_export|i:${…}|t:all,,src/bot/bot.js:18617
📥 Inbox бренда,1,src/bot/bot.js,kbBrandApplyMore,a:brand_apps|ws:0|s:new|p:0,mixed_language,src/bot/bot.js:4580
📥 Скачать полный лог,1,src/bot/bot.js,renderWsHistory,a:ws_history_export|ws:${…},,src/bot/bot.js:9286
📦 Неактивные каналы (${…}),1,src/bot/bot.js,renderWsList,a:ws_list_inactive,,src/bot/bot.js:9122
📨 Все,1,src/bot/bot.js,renderBroadcastAudiencePicker,,,src/bot/bot.js:37976
📨 Заявки,1,src/bot/bot.js,getBot,a:go_requests,,src/bot/bot.js:25107
📨 Заявки брендов,1,src/bot/bot.js,wsMenuKb,a:ws_leads|ws:${…}|s:new|p:0|ret:ws_open,,src/bot/bot.js:5396
📨 Заявки брендов${…},1,src/bot/bot.js,curatorWsKb,a:ws_leads|w:${…}|s:n|p:0${…},,src/bot/bot.js:18791
📨 Очередь заявок${…},1,src/bot/bot.js,curatorHomeKb,a:cur_inbox|s:n|p:0,,src/bot/bot.js:18687
📨 Переслать сообщение,1,src/bot/bot.js,renderGwWhyMenu,a:gw_why_forward|i:${…},,src/bot/bot.js:19243
📩 Владельцу,1,src/bot/bot.js,curatorGwKb,a:cur_gw_owner_q|ws:${…}|i:${…},,src/bot/bot.js:18873
📩 Отправить,1,src/bot/bot.js,renderCuratorGiveawayOwnerNotifyQ,a:cur_gw_owner_send|ws:${…}|i:${…},,src/bot/bot.js:19033
📰 Лента,1,src/bot/bot.js,renderHomeHub,a:bx_feed|ws:0|p:0|h:mm,,src/bot/bot.js:4155
📰 Открыть ленту,1,src/bot/bot.js,bxSmartKb,a:bx_feed|ws:${…}|p:0|h:${…},,src/bot/bot.js:15730
📲 Stories,1,src/bot/bot.js,renderWsIgTemplatesMenu,a:ws_ig_templates_send|ws:${…}|t:story,,src/bot/bot.js:11121
🔁 Повторить,1,src/bot/bot.js,getBot,a:brand_app_reply|id:${…}|s:${…}|p:${…},,src/bot/bot.js:22490
🔁 Подать заново,1,src/bot/bot.js,renderVerifyHome,a:verify_kind,,src/bot/bot.js:37593
🔁 Сменить канал,1,src/bot/bot.js,mainMenuCreatorCurrentKb,a:ws_list,,src/bot/bot.js:3562
🔁 Смешано,1,src/bot/bot.js,bxCompKb,a:bx_comp|ws:${…}|p:mixed,,src/bot/bot.js:8161
🔄 Выбрать другой,1,src/bot/bot.js,_renderTplFlowBrandApp,a:brand_app_tpls|id:${…}|s:${…}|p:${…},,src/bot/bot.js:14285
🔄 Проверить снова,1,src/bot/bot.js,brandTeamLockedKb,a:brand_team|ws:${…}|ret:${…},,src/bot/bot.js:6004
🔄 Статус,1,src/bot/bot.js,getBot,a:ws_ig_verify_status|ws:${…}|ret:${…},,src/bot/bot.js:28912
🔌 Подключить снова,1,src/bot/bot.js,wsDisconnectedKb,a:ws_reconnect_q|ws:${…},,src/bot/bot.js:5453
🔎 Ввести ID,1,src/bot/bot.js,renderGwWhyMenu,a:gw_why_enter|i:${…},mixed_language,src/bot/bot.js:19241
🔎 Найти,1,src/bot/bot.js,renderProfileMatchingHome,a:pm_run|ws:${…}|p:0,,src/bot/bot.js:9498
🔎 Открыть бренд,1,src/bot/bot.js,kbBrandApplyDone,a:brand_dir_open|u:${…}|p:${…},,src/bot/bot.js:4570
🔎 Проверить по ID,1,src/bot/gwAccess.js,renderGwAccess,a:gw_access_user_prompt|i:${…},mixed_language,src/bot/gwAccess.js:229
🔐 Web login: ${…},1,src/bot/bot.js,renderAdminSystem,a:admin_web_login_toggle,,src/bot/bot.js:38897
🔓 Обычный,1,src/bot/bot.js,curatorHomeKb,a:cur_mode_set|v:0|ret:menu,,src/bot/bot.js:18679
🔓 Обычный режим,1,src/bot/bot.js,curatorModeMenuKb,a:cur_mode_set|v:0|ret:menu,,src/bot/bot.js:4458
🔓 Переоткрыть,1,src/bot/bot.js,renderAdminSupportThread,a:admin_support_set|id:${…}|st:waiting_operator|s:${…}|p:${…},,src/bot/bot.js:38736
🔓 Режим владельца,1,src/bot/bot.js,mainMenuBrandKb,a:bm_mode_set|v:0|ret:menu,,src/bot/bot.js:3630
🔖 Bio,1,src/bot/bot.js,renderWsIgTemplatesMenu,a:ws_ig_templates_send|ws:${…}|t:bio,,src/bot/bot.js:11125
🔗 CTA,1,src/bot/bot.js,renderAdminSysNotice,,,src/bot/bot.js:39558
🔗 Добавить кнопки,1,src/bot/bot.js,getBot,,,src/bot/bot.js:19935
🔗 Поделиться,1,src/bot/bot.js,renderWsPublicProfile,a:ws_share|ws:${…},,src/bot/bot.js:11865
🔥 #F${…},1,src/bot/bot.js,renderBxFeed,a:feat_view|ws:${…}|id:${…}|p:${…}|h:${…},,src/bot/bot.js:15915
🔥 ${…} · ${…}⭐️,1,src/bot/bot.js,renderFeaturedHome,,,src/bot/bot.js:18326
🔥 Посмотреть,1,src/bot/bot.js,getBot,a:feat_view|ws:${…}|id:${…}|p:0,,src/bot/bot.js:23198
🔵 Ждут пользователя (${…}),1,src/bot/bot.js,renderAdminSupportHome,a:admin_support_list|s:waiting_user|p:0,,src/bot/bot.js:38628
🕒 1 день,1,src/bot/bot.js,renderOfficialRequestHome,a:off_req|ws:${…}|o:${…}|days:1|p:${…}|back:${…},,src/bot/bot.js:17548
🖼 Медиа,1,src/bot/bot.js,gwConfirmKb,a:gw_media_step|ws:${…},,src/bot/bot.js:8800
🖼️ Пост,1,src/bot/bot.js,renderWsIgTemplatesMenu,a:ws_ig_templates_send|ws:${…}|t:post,,src/bot/bot.js:11122
🗂 Шаблоны,1,src/bot/bot.js,_renderTplFlowLead,a:lead_tpls|id:${…}|w:${…}|s:${…}|p:${…}${…},,src/bot/bot.js:14371
🗑 Потер. ${…},1,src/bot/bot.js,brandDealsTabsKb,a:brand_deals|ws:0|st:lost|p:0,,src/bot/bot.js:13257
🗑 Сбросить черновик,1,src/bot/bot.js,renderBrandApply,a:brand_apply_clear|u:${…}|p:${…},destructive_or_reset,src/bot/bot.js:7845
🗑 Снять,1,src/bot/bot.js,renderOfficialManageView,a:off_rm|ws:${…}|o:${…}|p:${…}|back:${…},,src/bot/bot.js:17495
🗑 Удалить аккаунт,1,src/bot/bot.js,getBot,a:acc_del_q,destructive_or_reset,src/bot/bot.js:25569
🗑 Удалить папку,1,src/bot/bot.js,folderViewKb,a:folder_delete_q|ws:${…}|f:${…},destructive_or_reset,src/bot/bot.js:15398
🗒 Export last 200,1,src/bot/bot.js,renderAdminHardSkipHits,a:hs_hits_export|p:${…}|r:${…},,src/bot/bot.js:39447
🗓 Дедлайн,1,src/bot/bot.js,renderAdminFounder,a:admin_founder_set_deadline,,src/bot/bot.js:39998
🚀 Опубликовать (новая версия),1,src/bot/bot.js,renderAdminSysNotice,,,src/bot/bot.js:39562
🚀 Про · ${…}⭐️/мес,1,src/bot/bot.js,renderBrandPlan,a:brand_plan_buy|ws:${…}|plan:pro|ret:${…},,src/bot/bot.js:18131
🚨 Продолжить (break-glass),1,src/bot/bot.js,getBot,,mixed_language,src/bot/bot.js:24888
🚫 Заблокировать,1,src/bot/bot.js,renderAdminUserCard,a:adm_uban_q|id:${…}|v:1|f:${…}|p:${…},,src/bot/bot.js:40723
🛰 QStash статус,1,src/bot/bot.js,renderAdminSystem,a:admin_qstash_status,mixed_language,src/bot/bot.js:38906
🟠 Ждут оператора (${…}),1,src/bot/bot.js,renderAdminSupportHome,a:admin_support_list|s:waiting_operator|p:0,,src/bot/bot.js:38626
🟢 12h (backlog),1,src/bot/bot.js,renderAdminPaymentsFallback,a:admin_pay_fb_set|ttl:43200|r:backlog,,src/bot/bot.js:38976
🟢 24h (migration),1,src/bot/bot.js,renderAdminPaymentsFallback,a:admin_pay_fb_set|ttl:86400|r:migration,,src/bot/bot.js:38978
🟢 2h (incident),1,src/bot/bot.js,renderAdminPaymentsFallback,a:admin_pay_fb_set|ttl:7200|r:incident,,src/bot/bot.js:38975
🤝 Сделка ${…},1,src/bot/bot.js,brandDealsTabsKb,a:brand_deals|ws:0|st:deal|p:0,,src/bot/bot.js:13253
🤳 Креатор / Блогер,1,src/bot/bot.js,renderRoleSelection,a:home_mode|m:creator,,src/bot/bot.js:4298
🧑‍🎤 Креаторы,1,src/bot/bot.js,renderBroadcastAudiencePicker,,,src/bot/bot.js:37977
🧑‍💼 Менеджеры,1,src/bot/bot.js,renderBroadcastAudiencePicker,,,src/bot/bot.js:37982
🧑‍💼 Открыть кабинет менеджера,1,src/bot/bot.js,getBot,a:bm_home,,src/bot/bot.js:21389
🧑‍💼 Режим менеджера бренда,1,src/bot/bot.js,mainMenuCreatorKb,a:bm_home,,src/bot/bot.js:3524
🧩 Заполнить профиль бренда,1,src/bot/bot.js,brandTeamLockedKb,a:brand_profile_edit|ws:${…}|ret:${…},,src/bot/bot.js:5994
🧩 Кураторы,1,src/bot/bot.js,renderBroadcastAudiencePicker,,,src/bot/bot.js:37980
🧩 Пресеты,1,src/bot/bot.js,gwNewStepPrizeKb,a:gw_preset_home|ws:${…},,src/bot/bot.js:8679
🧩 Форматы,1,src/bot/bot.js,renderBrandProfileMore,a:brand_prof_set${…}|f:ty|from:more,,src/bot/bot.js:7034
🧩 Шаблоны,1,src/bot/bot.js,bxCategoryKb,a:bx_preset_home|ws:${…},,src/bot/bot.js:8087
🧪 Send signed ping,1,src/bot/bot.js,renderAdminQStashStatus,a:admin_qstash_ping,,src/bot/bot.js:39676
🧭 Как это работает,1,src/bot/bot.js,getBot,a:gw_sponsors_help|ws:${…}|b:folder,,src/bot/bot.js:36176
🧯 Fallback: ${…},1,src/bot/bot.js,renderAdminSystem,a:admin_pay_fb,,src/bot/bot.js:38903
🧱 Hard-skip (dead chats),1,src/bot/bot.js,renderAdminSystem,a:hs_home|p:0,english_or_internal_term,src/bot/bot.js:38907
🧱 Пропуски/ошибки,1,src/bot/bot.js,renderBroadcastView,,,src/bot/bot.js:38195
🧱 Список (set),1,src/bot/bot.js,renderAdminHardSkipHits,a:hs_home|p:0,mixed_language,src/bot/bot.js:39427
🧹 #${…} ${…},1,src/bot/bot.js,renderCuratorAudit,,,src/bot/bot.js:5787
🧹 ${…},1,src/bot/bot.js,renderWsProfileContactsClearMenu,a:ws_prof_contacts_clear_k|ws:${…}|k:${…},,src/bot/bot.js:11033
🧹 Clear pending snapshot,1,src/bot/bot.js,renderAdminOps,a:admin_ops_pending_clear,,src/bot/bot.js:38489
🧹 Disable,1,src/bot/bot.js,renderAdminPaymentsFallback,a:admin_pay_fb_off,,src/bot/bot.js:38979
🧹 Включить режим куратора,1,src/bot/bot.js,getBot,a:cur_mode_set|v:1|ret:cur,,src/bot/bot.js:21327
"🧹 Да, сбросить",1,src/bot/bot.js,getBot,a:ws_prof_reset_ok|ws:${…},destructive_or_reset,src/bot/bot.js:29221
🧹 Обнулить кредиты (опасно),1,src/bot/bot.js,getBot,a:adm_gift_revoke_input|t:cr,,src/bot/bot.js:30946
🧹 Очистить всё,1,src/bot/bot.js,renderAdminUserNote,a:adm_unote_clear_q|id:${…}|f:${…}|p:${…},destructive_or_reset,src/bot/bot.js:40815
🧹 Очистить кнопку,1,src/bot/bot.js,renderBroadcastSimpleButtonPicker,,destructive_or_reset,src/bot/bot.js:37865
🧹 Очистить поле,1,src/bot/bot.js,renderWsProfileContactsStructured,a:ws_prof_contacts_clear|ws:${…},destructive_or_reset,src/bot/bot.js:10984
🧹 Очистить текст,1,src/bot/bot.js,renderAdminSysNotice,,destructive_or_reset,src/bot/bot.js:39561
🧹 Сбросить поиск,1,src/bot/bot.js,getBot,a:admin_users_reset|f:${…}|p:0,destructive_or_reset,src/bot/bot.js:31281
🧹 Снять hard-skip,1,src/bot/bot.js,renderAdminHardSkipView,a:hs_unskip|tg:${…},mixed_language,src/bot/bot.js:39490
🧾 #${…},1,src/bot/opsAlerts.js,flushOpsAlerts,a:admin_pay_view|id:${…}|st:ORPHANED|p:0,,src/bot/opsAlerts.js:234
🧾 Flush ops digest,1,src/bot/bot.js,renderAdminOps,a:admin_ops_flush,,src/bot/bot.js:38488
🧾 HITs,1,src/bot/bot.js,getBot,a:hs_hits|p:${…}|r:${…},,src/bot/bot.js:30745
🧾 Transparency log,1,src/bot/bot.js,renderGwStats,a:gw_log|i:${…},english_or_internal_term,src/bot/bot.js:18615
🧾 Все заявки,1,src/bot/bot.js,renderCuratorAudit,,,src/bot/bot.js:5769
🧾 Детали,1,src/bot/bot.js,renderLeadView,a:lead_tpl_send|id:${…}|k:brief|w:${…}|s:${…}|p:${…}${…},,src/bot/bot.js:12420
🧾 Инвайт-карта,1,src/bot/bot.js,inviteKeyboardMarkup,a:share_card,,src/bot/bot.js:3141
🧾 К списку,1,src/bot/bot.js,renderAdminSupportThread,a:admin_support_list|s:${…}|p:${…},,src/bot/bot.js:38742
🧾 Лог конкурса,1,src/bot/bot.js,participantKb,a:gw_log|i:${…}${…},,src/bot/bot.js:8929
🧾 Последние пропуски,1,src/bot/bot.js,renderAdminHardSkipHome,a:hs_hits|p:${…}|r:all,,src/bot/bot.js:39363
🧾 Уточнить детали,1,src/bot/bot.js,renderBrandDealTemplates,a:brand_deal_tpl|id:${…}|k:brief|b:${…}|p:${…}${…},,src/bot/bot.js:14041
🩺 Проверить статус,1,src/bot/bot.js,renderOfficialManageView,a:off_verify|ws:${…}|o:${…}|p:${…}|back:${…},,src/bot/bot.js:17487
